dst_addr	prb_id	avg	ASN	Country	Name	NumIPs	type
217.28.166.213	6584	17.631136	AS35277	RO	LLHOST INC. SRL	1536	hosting
96.126.70.90	6584	224.582221	AS35277	RO	LLHOST INC. SRL	1536	hosting
109.168.125.243	6584	15.618416	AS35277	RO	LLHOST INC. SRL	1536	hosting
217.25.179.62	6584	29.2798913333	AS35277	RO	LLHOST INC. SRL	1536	hosting
217.31.202.20	6584	26.8948596667	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.0.14.129	6584	1.330937	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.188.44.100	6584	32.4357673333	AS35277	RO	LLHOST INC. SRL	1536	hosting
91.202.128.78	6584	38.025642	AS35277	RO	LLHOST INC. SRL	1536	hosting
107.162.220.5	6584	6.588475	AS35277	RO	LLHOST INC. SRL	1536	hosting
63.222.7.46	6584	301.435402	AS35277	RO	LLHOST INC. SRL	1536	hosting
93.190.128.178	6584	26.8141903333	AS35277	RO	LLHOST INC. SRL	1536	hosting
173.248.145.27	6584	146.8423626667	AS35277	RO	LLHOST INC. SRL	1536	hosting
34.97.153.243	6584	230.4644363333	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.49.14.25	6584	149.3029286667	AS35277	RO	LLHOST INC. SRL	1536	hosting
187.44.229.14	6584	214.834889	AS35277	RO	LLHOST INC. SRL	1536	hosting
78.189.206.22	6584	64.7435306667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.32.189.249	6584	61.3020366667	AS35277	RO	LLHOST INC. SRL	1536	hosting
81.211.202.45	6584	118.6664596667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.34.2.114	6584	144.960993	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.3.231.158	6584	104.688559	AS35277	RO	LLHOST INC. SRL	1536	hosting
81.211.198.45	6584	121.105651	AS35277	RO	LLHOST INC. SRL	1536	hosting
5.202.182.6	6584	109.1184496667	AS35277	RO	LLHOST INC. SRL	1536	hosting
46.101.130.201	6584	12.8262126667	AS35277	RO	LLHOST INC. SRL	1536	hosting
87.237.203.50	6584	28.3668853333	AS35277	RO	LLHOST INC. SRL	1536	hosting
194.50.88.164	6584	34.2911453333	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.182.2.254	6584	42.1171946667	AS35277	RO	LLHOST INC. SRL	1536	hosting
23.157.160.140	6584	77.4258606667	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.242.74.185	6584	240.9230953333	AS35277	RO	LLHOST INC. SRL	1536	hosting
80.77.4.60	6584	124.463558	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.2.186.195	6584	305.4074706667	AS35277	RO	LLHOST INC. SRL	1536	hosting
35.198.9.221	6584	193.4454086667	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.170.114.242	6584	31.0618406667	AS35277	RO	LLHOST INC. SRL	1536	hosting
27.111.84.21	6584	261.5555483333	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.122.254	6584	185.408492	AS35277	RO	LLHOST INC. SRL	1536	hosting
81.211.194.45	6584	103.6012926667	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.50.97.164	6584	23.6521453333	AS35277	RO	LLHOST INC. SRL	1536	hosting
188.92.41.251	6584	26.5916463333	AS35277	RO	LLHOST INC. SRL	1536	hosting
161.53.251.28	6584	26.8491583333	AS35277	RO	LLHOST INC. SRL	1536	hosting
82.98.65.254	6584	33.4581113333	AS35277	RO	LLHOST INC. SRL	1536	hosting
5.135.102.47	6584	7.145396	AS35277	RO	LLHOST INC. SRL	1536	hosting
129.13.73.54	6584	29.2609356667	AS35277	RO	LLHOST INC. SRL	1536	hosting
80.92.124.145	6584	47.8916496667	AS35277	RO	LLHOST INC. SRL	1536	hosting
23.157.112.130	6584	161.538931	AS35277	RO	LLHOST INC. SRL	1536	hosting
202.180.0.250	6584	218.795709	AS35277	RO	LLHOST INC. SRL	1536	hosting
45.121.208.237	6584	229.7448046667	AS35277	RO	LLHOST INC. SRL	1536	hosting
147.251.58.107	6584	23.3396583333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.194.168.88	6584	11.797913	AS35277	RO	LLHOST INC. SRL	1536	hosting
52.69.122.97	6584	228.7087556667	AS35277	RO	LLHOST INC. SRL	1536	hosting
52.76.134.108	6584	171.7602296667	AS35277	RO	LLHOST INC. SRL	1536	hosting
128.199.5.28	6584	142.4794446667	AS35277	RO	LLHOST INC. SRL	1536	hosting
70.34.195.54	6584	25.115127	AS35277	RO	LLHOST INC. SRL	1536	hosting
51.83.252.103	6584	44.191262	AS35277	RO	LLHOST INC. SRL	1536	hosting
202.142.143.178	6584	285.1830356667	AS35277	RO	LLHOST INC. SRL	1536	hosting
68.64.60.178	6584	78.7661776667	AS35277	RO	LLHOST INC. SRL	1536	hosting
170.39.227.194	6584	150.2847903333	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.160.63.222	6584	180.0775076667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.91.44.9	6584	8.3075256667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.173.128.71	6584	39.368334	AS35277	RO	LLHOST INC. SRL	1536	hosting
204.11.3.45	6584	36.5870173333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.156.96.242	6584	31.800703	AS35277	RO	LLHOST INC. SRL	1536	hosting
212.116.14.178	6584	47.785051	AS35277	RO	LLHOST INC. SRL	1536	hosting
95.163.252.10	6584	49.2339453333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.111.204.121	6584	6.8632833333	AS35277	RO	LLHOST INC. SRL	1536	hosting
141.98.136.74	6584	35.779126	AS35277	RO	LLHOST INC. SRL	1536	hosting
94.242.1.50	6584	33.3741856667	AS35277	RO	LLHOST INC. SRL	1536	hosting
46.148.125.32	6584	0.1151003333	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.49.5.98	6584	149.1204266667	AS35277	RO	LLHOST INC. SRL	1536	hosting
5.79.112.97	6584	1.2934366667	AS35277	RO	LLHOST INC. SRL	1536	hosting
178.250.0.57	6584	13.1630896667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.184.236.30	6584	9.083267	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.91.165.187	6584	58.472564	AS35277	RO	LLHOST INC. SRL	1536	hosting
92.38.184.82	6584	1.0160566667	AS35277	RO	LLHOST INC. SRL	1536	hosting
170.39.225.183	6584	101.6605946667	AS35277	RO	LLHOST INC. SRL	1536	hosting
188.172.217.86	6584	184.43655	AS35277	RO	LLHOST INC. SRL	1536	hosting
212.86.79.78	6584	116.07393	AS35277	RO	LLHOST INC. SRL	1536	hosting
150.164.1.222	6584	224.8005806667	AS35277	RO	LLHOST INC. SRL	1536	hosting
197.239.73.59	6584	149.2041313333	AS35277	RO	LLHOST INC. SRL	1536	hosting
208.40.192.202	6584	115.6826206667	AS35277	RO	LLHOST INC. SRL	1536	hosting
34.94.50.16	6584	166.181589	AS35277	RO	LLHOST INC. SRL	1536	hosting
192.73.253.2	6584	84.466289	AS35277	RO	LLHOST INC. SRL	1536	hosting
87.195.79.82	6584	4.5642573333	AS35277	RO	LLHOST INC. SRL	1536	hosting
45.33.72.12	6584	73.6479906667	AS35277	RO	LLHOST INC. SRL	1536	hosting
