dst_addr	prb_id	avg	ASN	Country	Name	NumIPs	type
217.28.166.213	6584	17.631136	AS35277	RO	LLHOST INC. SRL	1536	hosting
109.168.125.243	6584	15.618416	AS35277	RO	LLHOST INC. SRL	1536	hosting
217.25.179.62	6584	29.2798913333	AS35277	RO	LLHOST INC. SRL	1536	hosting
217.31.202.20	6584	26.8948596667	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.0.14.129	6584	1.330937	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.188.44.100	6584	32.4357673333	AS35277	RO	LLHOST INC. SRL	1536	hosting
107.162.220.5	6584	6.588475	AS35277	RO	LLHOST INC. SRL	1536	hosting
173.248.145.27	6584	146.8423626667	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.49.14.25	6584	149.3029286667	AS35277	RO	LLHOST INC. SRL	1536	hosting
187.44.229.14	6584	214.834889	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.32.189.249	6584	61.3020366667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.34.2.114	6584	144.960993	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.3.231.158	6584	104.688559	AS35277	RO	LLHOST INC. SRL	1536	hosting
194.50.88.164	6584	34.2911453333	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.182.2.254	6584	42.1171946667	AS35277	RO	LLHOST INC. SRL	1536	hosting
23.157.160.140	6584	77.4258606667	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.242.74.185	6584	240.9230953333	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.2.186.195	6584	305.4074706667	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.170.114.242	6584	31.0618406667	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.122.254	6584	185.408492	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.50.97.164	6584	23.6521453333	AS35277	RO	LLHOST INC. SRL	1536	hosting
188.92.41.251	6584	26.5916463333	AS35277	RO	LLHOST INC. SRL	1536	hosting
161.53.251.28	6584	26.8491583333	AS35277	RO	LLHOST INC. SRL	1536	hosting
